title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,job_url
"Human-Robot Interaction, Applied Scientist , Fauna",Amazon,"New York, New York, United States",2026-08-25,H-1B Sponsor,Amazon,no,Applied Scientist,"172,400-223,400 USD/annual",https://amazon.jobs/en/jobs/10513094/human-robot-interaction-applied-scientist-fauna
Software Engineer II,Waystar,"Atlanta, Georgia, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.waystar.com/atlanta-ga/software-engineer-ii/4A8FCD824DA24229A586B1EC81BE19B1/job/
Full Stack Software Engineer,State Farm,"Bloomington, Illinois, United States",2026-08-24,H-1B Sponsor,,no,"Software, Full Stack","85,500-100,000 USD/annual",https://jobs.statefarm.com/main/jobs/45914?lang=en-us
"Engineer I, Software",Schneider Electric,"San Leandro, California, United States",2026-08-24,H-1B Sponsor,,no,Software,"68,000-102,000 USD/annual",https://careers.se.com/jobs/131322?lang=en-us&previousLocale=en-US
"Intern: Software Engineer, Product Development (Summer 2027)",Mine Safety Appliances,"Cranberry Township, Pennsylvania, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.msasafety.com/jobs/9993?lang=en-us&previousLocale=en-US
Software Engineer 3,PayPal,"San Jose, California, United States",2026-08-24,H-1B Sponsor,,no,Software,"169,576-243,500 USD/annual",https://paypal.eightfold.ai/careers/job/274922009779?domain=paypal.com&triggerGoButton=false
Software Engineering Evaluation Specialist,Mindrift,"Colorado, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://apply.workable.com/toloka-ai/j/581F0E6D41/
Full Stack Software Engineer,Atlassian,"San Francisco, California, United States",2026-08-24,H-1B Sponsor,,no,"Software, Full Stack","124,749-196,225 USD/annual",https://www.atlassian.com/company/careers/details/25561
Software Engineer II – Java and AWS,Chewy,"Boston, Massachusetts, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.chewy.com/us/en/job/R30683/Software-Engineer-II-Java-and-AWS
"Associate, Workforce Software",Phillips 66,"Bartlesville, Oklahoma, United States",2026-08-24,H-1B Sponsor,,no,Software,"55,900-68,310 USD/annual",https://careers.phillips66.com/job/Bartlesville-Associate%2C-Workforce-Software-OK-74004/1422493200/
Software Developer,Boston Scientific,"Maple Grove, Minnesota, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://bostonscientific.eightfold.ai/careers/job/563602813426281?domain=bostonscientific.com&hl=en&triggerGoButton=false
Associate Software Developer,Intercontinental Exchange,"Jacksonville, Florida, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.ice.com/jobs/13511?lang=en-us
Single-Family Software Developer Intern- Summer 2027,Freddie Mac,"McLean, Virginia, United States",2026-08-24,H-1B Sponsor,,yes,Software,32-32 USD/hourly,https://careers.freddiemac.com/us/en/job/JR17544/Single-Family-Software-Developer-Intern-Summer-2027
Software Developer – Entry Level,CGI,"Denver, Colorado, United States",2026-08-24,H-1B Sponsor,,no,Software,"58,000-95,700 USD/annual",https://cgi.njoyn.com/corp/xweb/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0826-1623&BRID=1327992&lang=1
"Software Engineer, Backend",Captions,"New York City, New York, United States",2026-08-24,H-1B Sponsor,,no,"Software, Backend","175,000-275,000 USD/annual",https://jobs.ashbyhq.com/mirage/8d5cc445-ff2b-41ca-8c42-feb690de4bf7
Software Engineering Evaluation Specialist,Mindrift,"New York, New York, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://apply.workable.com/toloka-ai/j/BC04408A2B/
Software Engineer I,Boston Scientific,"Arden Hills, Minnesota, United States",2026-08-24,H-1B Sponsor,,no,Software,"59,900-113,800 USD/annual",https://bostonscientific.eightfold.ai/careers/job/563602813451526?domain=bostonscientific.com&hl=en&triggerGoButton=false
Software Engineering Evaluation Specialist,Mindrift,"Austin, Texas, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://apply.workable.com/toloka-ai/j/6CBF122CC6/
Software Engineering Evaluation Specialist,Mindrift,"Minnesota, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://apply.workable.com/toloka-ai/j/861A7212E8/
Software Engineering Evaluation Specialist,Mindrift,"North Carolina, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://apply.workable.com/toloka-ai/j/804AEDCC1B/
"Associate, Full Stack Engineer",BlackRock,"San Francisco, California, United States",2026-08-24,H-1B Sponsor,,no,Full Stack,"132,500-162,000 USD/annual",https://careers.blackrock.com/job/san-francisco/associate-full-stack-engineer/45831/99362668224
Full Stack Developer,Intercontinental Exchange,"Jacksonville, Florida, United States",2026-08-24,H-1B Sponsor,,no,Full Stack,,https://careers.ice.com/jobs/13643?lang=en-us
IT Engineer I Wireless and AI Operations,Coca-Cola Consolidated,"Charlotte, North Carolina, United States",2026-08-24,H-1B Sponsor,,no,AI,,https://conaservices.jobs2web.com/consolidated/job/Charlotte-IT-Engineer-I-Wireless-and-AI-Operations-NC-28211/1422276500/
Network / Cloud Infrastructure Engineer,Kforce,"Scottsdale, Arizona, United States",2026-08-24,H-1B Sponsor,,no,Infrastructure,60-72 USD/hourly,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE4NDI5NVQxfjk5/
"Software Engineer, Data Platform",Vercel,"New York City, New York, United States",2026-08-25,H-1B Sponsor,,no,"Software, Platform","130,000-200,000 USD/annual",https://vercel.com/careers/software-engineer-data-platform-6161129004
Software Engineer | Python & SQL Development | Experienced Hire,Susquehanna International Group,"Bala Cynwyd, Pennsylvania, United States",2026-08-25,H-1B Sponsor,,no,Software,,https://careers.sig.com/jobs/10509?lang=en-us
Software Engineer 1,Garmin,"Olathe, Kansas, United States",2026-08-25,H-1B Sponsor,,no,Software,,https://careers.garmin.com/jobs/19695?lang=en-us&previousLocale=en-US
Software Engineer - University Hire 2027,Voleon,"Berkeley, California, United States",2026-08-25,H-1B Sponsor,,yes,Software,"175,000-210,000 USD/annual",https://jobs.ashbyhq.com/voleon/d732fd5a-ac98-4985-9e60-d1d59f02a66c
Software Engineer – Advanced EV,Brooksource,"Dearborn, Michigan, United States",2026-08-25,H-1B Sponsor,,no,Software,32-34 USD/hourly,https://jobs.brooksource.com/jobs/job/a1wcv000000imjbeau-software-engineer-advanced-ev-dearborn-michigan/
Software Development Engineer 1,WEX,United States,2026-08-25,H-1B Sponsor,,no,Software,"75,200-95,300 USD/annual",https://careers.wexinc.com/us/en/job/R22757/Software-Development-Engineer-1
"Internship, Controls & Software Automation Engineer, Cell Manufacturing (Spring 2027)",Tesla,"Austin, Texas, United States",2026-08-25,H-1B Sponsor,,no,Software,,https://www.tesla.com/careers/search/job/280285
Software Engineer Intern,Garmin,"Olathe, Kansas, United States",2026-08-25,H-1B Sponsor,,no,Software,,https://careers.garmin.com/jobs/19693?lang=en-us&previousLocale=en-US
Software Engineer Intern - (Summer 2027),Voleon,"Berkeley, California, United States",2026-08-25,H-1B Sponsor,,yes,Software,,https://jobs.ashbyhq.com/voleon/57f1b666-2f4b-4bad-aac0-fa42a1c8fdf6
Software Development Engineer 1,WEX,United States,2026-08-25,H-1B Sponsor,,no,Software,"75,200-95,300 USD/annual",https://careers.wexinc.com/us/en/job/R22758/Software-Development-Engineer-1
Workflow + Process Designer (AI Enablement),Notion Labs,"San Francisco, California, United States",2026-08-25,H-1B Sponsor,,no,AI,"166,000-185,000 USD/annual",https://jobs.ashbyhq.com/notion/c799f1f0-0e7b-4eac-98ce-44223130f2b0
AI Co-op with Drexel University,Susquehanna International Group,"Bala Cynwyd, Pennsylvania, United States",2026-08-25,H-1B Sponsor,,no,AI,,https://careers.sig.com/jobs/11368?lang=en-us
"PhD Intern, AI/ML/NLP Engineer",WEX,United States,2026-08-25,H-1B Sponsor,,no,AI,,https://careers.wexinc.com/us/en/job/R22834/PhD-Intern-AI-ML-NLP-Engineer
M365 Platform Engineer,ProPetro,"Midland, Texas, United States",2026-08-25,H-1B Sponsor,,no,Platform,,https://propetroservices.wd5.myworkdayjobs.com/en-US/ProPetro_Careers/job/Midland-TX/M365-Platform-Engineer_R-101059-1
