tier,fit_score,company,title,location,posted_date,recommended_resume,referral_name,official_url,source,source_url
A,8.1,Amazon,"Software Development Engineer, Amazon - Selling Partners","Seattle, WA",2026-08-26,SWE,Amazon,,linkedin,https://www.linkedin.com/jobs/view/software-development-engineer-amazon-selling-partners-at-amazon-4459083201
A,8.1,Google,"Software Engineer III, Infrastructure, Keystore Platforms","New York, NY",2026-08-25,SWE,Google,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-iii-infrastructure-keystore-platforms-at-google-4457498466
A,8.1,Roblox,"Software Engineer, Creator Studio","San Mateo, CA",2026-08-25,SWE,Roblox,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-creator-studio-at-roblox-4457664254
B,7.3,Cloudflare,"Software Engineer, Workers Deploy & Config","Austin, TX",2026-08-25,SWE,,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-workers-deploy-config-at-cloudflare-4437615282
B,7.3,Figma,Software Engineer - C++,"New York, NY",2026-08-25,SWE,,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-c%2B%2B-at-figma-4239984024
B,7.3,Pinterest,"Software Engineer II, Big Data, tvScientific","San Francisco, CA",2026-08-25,SWE,,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-ii-big-data-tvscientific-at-pinterest-4420414250
B,5.8,Anthropic,Data Engineer,"New York, NY",2026-08-25,SWE,,,linkedin,https://www.linkedin.com/jobs/view/data-engineer-at-anthropic-4411764144
